Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite2,Chrome 73.0.3683.103,,2019-04-12 20:33:07,2019-04-12 20:34:25,1m - 18.560s,FAILED
,,,,,,
Test Cases/April13/DataDrivenTest,Chrome 73.0.3683.103,,2019-04-12 20:33:07,2019-04-12 20:33:15,7.700s,FAILED
"openBrowser("""")",Chrome 73.0.3683.103,,2019-04-12 20:33:07,2019-04-12 20:33:11,3.364s,PASSED
"navigateToUrl(""https://opensource-demo.orangehrmlive.com/"")",Chrome 73.0.3683.103,,2019-04-12 20:33:11,2019-04-12 20:33:11,0.505s,PASSED
"click(findTestObject(""Object Repository/Page_OrangeHRM/span_Username""))",Chrome 73.0.3683.103,,2019-04-12 20:33:11,2019-04-12 20:33:11,0.146s,PASSED
"setText(findTestObject(""Object Repository/Page_OrangeHRM/input_LOGIN Panel_txtUsername""), Username)",Chrome 73.0.3683.103,,2019-04-12 20:33:11,2019-04-12 20:33:12,0.187s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_OrangeHRM/input_Username_txtPassword""), Password)",Chrome 73.0.3683.103,,2019-04-12 20:33:12,2019-04-12 20:33:12,0.196s,PASSED
"click(findTestObject(""Object Repository/Page_OrangeHRM/input_Password_Submit""))",Chrome 73.0.3683.103,,2019-04-12 20:33:12,2019-04-12 20:33:13,0.778s,PASSED
"click(findTestObject(""Object Repository/Page_OrangeHRM/b_Admin""))",Chrome 73.0.3683.103,,2019-04-12 20:33:13,2019-04-12 20:33:13,0.718s,PASSED
"click(findTestObject(""Object Repository/Page_OrangeHRM/b_Leave""))",Chrome 73.0.3683.103,,2019-04-12 20:33:13,2019-04-12 20:33:14,0.525s,PASSED
"click(findTestObject(""Object Repository/Page_OrangeHRM/b_Performance""))",Chrome 73.0.3683.103,,2019-04-12 20:33:14,2019-04-12 20:33:14,0.122s,PASSED
"click(findTestObject(""Object Repository/Page_OrangeHRM/b_Maintenance""))",Chrome 73.0.3683.103,,2019-04-12 20:33:14,2019-04-12 20:33:14,0.330s,PASSED
"click(findTestObject(""Object Repository/Page_OrangeHRM/a_Welcome Admin""))",Chrome 73.0.3683.103,,2019-04-12 20:33:14,2019-04-12 20:33:14,0.083s,PASSED
"click(findTestObject(""Object Repository/Page_OrangeHRM/a_Logout""))",Chrome 73.0.3683.103,,2019-04-12 20:33:14,2019-04-12 20:33:15,0.384s,FAILED
,,,,,,
Test Cases/April13/DataDrivenTest,Chrome 73.0.3683.103,,2019-04-12 20:33:15,2019-04-12 20:33:50,34.989s,FAILED
"openBrowser("""")",Chrome 73.0.3683.103,,2019-04-12 20:33:15,2019-04-12 20:33:18,2.954s,PASSED
"navigateToUrl(""https://opensource-demo.orangehrmlive.com/"")",Chrome 73.0.3683.103,,2019-04-12 20:33:18,2019-04-12 20:33:18,0.460s,PASSED
"click(findTestObject(""Object Repository/Page_OrangeHRM/span_Username""))",Chrome 73.0.3683.103,,2019-04-12 20:33:18,2019-04-12 20:33:18,0.101s,PASSED
"setText(findTestObject(""Object Repository/Page_OrangeHRM/input_LOGIN Panel_txtUsername""), Username)",Chrome 73.0.3683.103,,2019-04-12 20:33:18,2019-04-12 20:33:19,0.117s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_OrangeHRM/input_Username_txtPassword""), Password)",Chrome 73.0.3683.103,,2019-04-12 20:33:19,2019-04-12 20:33:19,0.095s,PASSED
"click(findTestObject(""Object Repository/Page_OrangeHRM/input_Password_Submit""))",Chrome 73.0.3683.103,,2019-04-12 20:33:19,2019-04-12 20:33:19,0.245s,PASSED
"click(findTestObject(""Object Repository/Page_OrangeHRM/b_Admin""))",Chrome 73.0.3683.103,,2019-04-12 20:33:19,2019-04-12 20:33:50,30.966s,FAILED
,,,,,,
Test Cases/April13/DataDrivenTest,Chrome 73.0.3683.103,,2019-04-12 20:33:50,2019-04-12 20:34:25,34.888s,FAILED
"openBrowser("""")",Chrome 73.0.3683.103,,2019-04-12 20:33:50,2019-04-12 20:33:53,2.933s,PASSED
"navigateToUrl(""https://opensource-demo.orangehrmlive.com/"")",Chrome 73.0.3683.103,,2019-04-12 20:33:53,2019-04-12 20:33:53,0.474s,PASSED
"click(findTestObject(""Object Repository/Page_OrangeHRM/span_Username""))",Chrome 73.0.3683.103,,2019-04-12 20:33:53,2019-04-12 20:33:53,0.100s,PASSED
"setText(findTestObject(""Object Repository/Page_OrangeHRM/input_LOGIN Panel_txtUsername""), Username)",Chrome 73.0.3683.103,,2019-04-12 20:33:53,2019-04-12 20:33:53,0.105s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_OrangeHRM/input_Username_txtPassword""), Password)",Chrome 73.0.3683.103,,2019-04-12 20:33:53,2019-04-12 20:33:54,0.113s,PASSED
"click(findTestObject(""Object Repository/Page_OrangeHRM/input_Password_Submit""))",Chrome 73.0.3683.103,,2019-04-12 20:33:54,2019-04-12 20:33:54,0.240s,PASSED
"click(findTestObject(""Object Repository/Page_OrangeHRM/b_Admin""))",Chrome 73.0.3683.103,,2019-04-12 20:33:54,2019-04-12 20:34:25,30.907s,FAILED
