Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite2,Chrome 73.0.3683.103,,2019-04-12 20:30:53,2019-04-12 20:31:08,14.459s,FAILED
,,,,,,
Test Cases/April13/DataDrivenTest,Chrome 73.0.3683.103,,2019-04-12 20:30:54,2019-04-12 20:30:59,5.208s,FAILED
"openBrowser("""")",Chrome 73.0.3683.103,,2019-04-12 20:30:54,2019-04-12 20:30:57,3.551s,PASSED
"navigateToUrl(""https://opensource-demo.orangehrmlive.com/"")",Chrome 73.0.3683.103,,2019-04-12 20:30:57,2019-04-12 20:30:58,0.534s,PASSED
"click(findTestObject(""Object Repository/Page_OrangeHRM/span_Username""))",Chrome 73.0.3683.103,,2019-04-12 20:30:58,2019-04-12 20:30:58,0.165s,PASSED
"setText(findTestObject(""Object Repository/Page_OrangeHRM/input_LOGIN Panel_txtUsername""), Username)",Chrome 73.0.3683.103,,2019-04-12 20:30:58,2019-04-12 20:30:58,0.177s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_OrangeHRM/input_Username_txtPassword""), Password)",Chrome 73.0.3683.103,,2019-04-12 20:30:58,2019-04-12 20:30:59,0.411s,FAILED
,,,,,,
Test Cases/April13/DataDrivenTest,Chrome 73.0.3683.103,,2019-04-12 20:30:59,2019-04-12 20:31:03,4.178s,FAILED
"openBrowser("""")",Chrome 73.0.3683.103,,2019-04-12 20:30:59,2019-04-12 20:31:02,2.995s,PASSED
"navigateToUrl(""https://opensource-demo.orangehrmlive.com/"")",Chrome 73.0.3683.103,,2019-04-12 20:31:02,2019-04-12 20:31:02,0.506s,PASSED
"click(findTestObject(""Object Repository/Page_OrangeHRM/span_Username""))",Chrome 73.0.3683.103,,2019-04-12 20:31:02,2019-04-12 20:31:02,0.132s,PASSED
"setText(findTestObject(""Object Repository/Page_OrangeHRM/input_LOGIN Panel_txtUsername""), Username)",Chrome 73.0.3683.103,,2019-04-12 20:31:02,2019-04-12 20:31:03,0.158s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_OrangeHRM/input_Username_txtPassword""), Password)",Chrome 73.0.3683.103,,2019-04-12 20:31:03,2019-04-12 20:31:03,0.344s,FAILED
,,,,,,
Test Cases/April13/DataDrivenTest,Chrome 73.0.3683.103,,2019-04-12 20:31:03,2019-04-12 20:31:07,4.015s,FAILED
"openBrowser("""")",Chrome 73.0.3683.103,,2019-04-12 20:31:03,2019-04-12 20:31:06,2.912s,PASSED
"navigateToUrl(""https://opensource-demo.orangehrmlive.com/"")",Chrome 73.0.3683.103,,2019-04-12 20:31:06,2019-04-12 20:31:06,0.477s,PASSED
"click(findTestObject(""Object Repository/Page_OrangeHRM/span_Username""))",Chrome 73.0.3683.103,,2019-04-12 20:31:06,2019-04-12 20:31:06,0.120s,PASSED
"setText(findTestObject(""Object Repository/Page_OrangeHRM/input_LOGIN Panel_txtUsername""), Username)",Chrome 73.0.3683.103,,2019-04-12 20:31:06,2019-04-12 20:31:07,0.149s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_OrangeHRM/input_Username_txtPassword""), Password)",Chrome 73.0.3683.103,,2019-04-12 20:31:07,2019-04-12 20:31:07,0.321s,FAILED
