Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite1,Chrome 73.0.3683.103,,2019-04-12 20:38:11,2019-04-12 20:38:57,45.842s,FAILED
,,,,,,
Test Cases/April13/Test1,Chrome 73.0.3683.103,,2019-04-12 20:38:11,2019-04-12 20:38:20,8.568s,FAILED
"openBrowser("""")",Chrome 73.0.3683.103,,2019-04-12 20:38:12,2019-04-12 20:38:16,3.888s,PASSED
navigateToUrl(URL),Chrome 73.0.3683.103,,2019-04-12 20:38:16,2019-04-12 20:38:16,0.862s,PASSED
"click(findTestObject(""Object Repository/Page_OrangeHRM/span_Username""))",Chrome 73.0.3683.103,,2019-04-12 20:38:16,2019-04-12 20:38:17,0.147s,PASSED
"setText(findTestObject(""Object Repository/Page_OrangeHRM/input_LOGIN Panel_txtUsername""), Username)",Chrome 73.0.3683.103,,2019-04-12 20:38:17,2019-04-12 20:38:17,0.142s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_OrangeHRM/input_Username_txtPassword""), Password)",Chrome 73.0.3683.103,,2019-04-12 20:38:17,2019-04-12 20:38:17,0.226s,PASSED
"click(findTestObject(""Object Repository/Page_OrangeHRM/input_Password_Submit""))",Chrome 73.0.3683.103,,2019-04-12 20:38:17,2019-04-12 20:38:18,0.867s,PASSED
"click(findTestObject(""Object Repository/Page_OrangeHRM/b_Admin""))",Chrome 73.0.3683.103,,2019-04-12 20:38:18,2019-04-12 20:38:18,0.569s,PASSED
"click(findTestObject(""Object Repository/Page_OrangeHRM/b_Leave""))",Chrome 73.0.3683.103,,2019-04-12 20:38:18,2019-04-12 20:38:19,0.621s,PASSED
"click(findTestObject(""Object Repository/Page_OrangeHRM/b_Performance""))",Chrome 73.0.3683.103,,2019-04-12 20:38:19,2019-04-12 20:38:19,0.121s,PASSED
"click(findTestObject(""Object Repository/Page_OrangeHRM/b_Maintenance""))",Chrome 73.0.3683.103,,2019-04-12 20:38:19,2019-04-12 20:38:19,0.311s,PASSED
"click(findTestObject(""Object Repository/Page_OrangeHRM/a_Welcome Admin""))",Chrome 73.0.3683.103,,2019-04-12 20:38:19,2019-04-12 20:38:19,0.091s,PASSED
"click(findTestObject(""Object Repository/Page_OrangeHRM/a_Logout""))",Chrome 73.0.3683.103,,2019-04-12 20:38:19,2019-04-12 20:38:20,0.367s,FAILED
,,,,,,
Test Cases/April13/Test2,Chrome 73.0.3683.103,,2019-04-12 20:38:20,2019-04-12 20:38:25,4.675s,PASSED
"openBrowser("""")",Chrome 73.0.3683.103,,2019-04-12 20:38:20,2019-04-12 20:38:23,2.990s,PASSED
"navigateToUrl(""https://opensource-demo.orangehrmlive.com/"")",Chrome 73.0.3683.103,,2019-04-12 20:38:23,2019-04-12 20:38:23,0.456s,PASSED
"click(findTestObject(""Object Repository/Page_OrangeHRM/span_Username""))",Chrome 73.0.3683.103,,2019-04-12 20:38:23,2019-04-12 20:38:24,0.085s,PASSED
"setText(findTestObject(""Object Repository/Page_OrangeHRM/input_LOGIN Panel_txtUsername""), ""Admin"")",Chrome 73.0.3683.103,,2019-04-12 20:38:24,2019-04-12 20:38:24,0.115s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_OrangeHRM/input_Username_txtPassword""), ""hUKwJTbofgPU9eVlw/CnDQ=="")",Chrome 73.0.3683.103,,2019-04-12 20:38:24,2019-04-12 20:38:24,0.108s,PASSED
