Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite1,Chrome 73.0.3683.103,,2019-04-13 06:38:30,2019-04-13 06:39:33,1m - 3.542s,FAILED
,,,,,,
Test Cases/April13/Test1,Chrome 73.0.3683.103,,2019-04-13 06:38:30,2019-04-13 06:38:46,15.836s,FAILED
Start listener action : onTestCaseStart,Chrome 73.0.3683.103,,2019-04-13 06:38:30,2019-04-13 06:38:30,0.008s,PASSED
"openBrowser("""")",Chrome 73.0.3683.103,,2019-04-13 06:38:30,2019-04-13 06:38:37,6.440s,PASSED
navigateToUrl(URL),Chrome 73.0.3683.103,,2019-04-13 06:38:37,2019-04-13 06:38:38,0.730s,PASSED
"click(findTestObject(""Object Repository/Page_OrangeHRM/span_Username""))",Chrome 73.0.3683.103,,2019-04-13 06:38:38,2019-04-13 06:38:38,0.153s,PASSED
"setText(findTestObject(""Object Repository/Page_OrangeHRM/input_LOGIN Panel_txtUsername""), Username)",Chrome 73.0.3683.103,,2019-04-13 06:38:38,2019-04-13 06:38:38,0.139s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_OrangeHRM/input_Username_txtPassword""), Password)",Chrome 73.0.3683.103,,2019-04-13 06:38:38,2019-04-13 06:38:38,0.316s,PASSED
"click(findTestObject(""Object Repository/Page_OrangeHRM/input_Password_Submit""))",Chrome 73.0.3683.103,,2019-04-13 06:38:38,2019-04-13 06:38:39,0.786s,PASSED
"click(findTestObject(""Object Repository/Page_OrangeHRM/b_Admin""))",Chrome 73.0.3683.103,,2019-04-13 06:38:39,2019-04-13 06:38:39,0.489s,PASSED
"click(findTestObject(""Object Repository/Page_OrangeHRM/b_Leave""))",Chrome 73.0.3683.103,,2019-04-13 06:38:39,2019-04-13 06:38:40,0.504s,PASSED
"click(findTestObject(""Object Repository/Page_OrangeHRM/b_Performance""))",Chrome 73.0.3683.103,,2019-04-13 06:38:40,2019-04-13 06:38:40,0.097s,PASSED
"click(findTestObject(""Object Repository/Page_OrangeHRM/b_Maintenance""))",Chrome 73.0.3683.103,,2019-04-13 06:38:40,2019-04-13 06:38:40,0.313s,PASSED
"click(findTestObject(""Object Repository/Page_OrangeHRM/a_Welcome Admin""))",Chrome 73.0.3683.103,,2019-04-13 06:38:40,2019-04-13 06:38:40,0.078s,PASSED
"click(findTestObject(""Object Repository/Page_OrangeHRM/a_Logout""))",Chrome 73.0.3683.103,,2019-04-13 06:38:40,2019-04-13 06:38:46,5.488s,FAILED
Start listener action : onTestCaseEnd,Chrome 73.0.3683.103,,2019-04-13 06:38:46,2019-04-13 06:38:46,0.017s,ERROR
,,,,,,
Test Cases/April13/Test2,Chrome 73.0.3683.103,,2019-04-13 06:38:46,2019-04-13 06:38:51,4.609s,PASSED
Start listener action : onTestCaseStart,Chrome 73.0.3683.103,,2019-04-13 06:38:46,2019-04-13 06:38:46,0.003s,PASSED
"openBrowser("""")",Chrome 73.0.3683.103,,2019-04-13 06:38:46,2019-04-13 06:38:49,2.884s,PASSED
"navigateToUrl(""https://opensource-demo.orangehrmlive.com/"")",Chrome 73.0.3683.103,,2019-04-13 06:38:49,2019-04-13 06:38:49,0.468s,PASSED
"click(findTestObject(""Object Repository/Page_OrangeHRM/span_Username""))",Chrome 73.0.3683.103,,2019-04-13 06:38:49,2019-04-13 06:38:50,0.087s,PASSED
"setText(findTestObject(""Object Repository/Page_OrangeHRM/input_LOGIN Panel_txtUsername""), ""Admin"")",Chrome 73.0.3683.103,,2019-04-13 06:38:50,2019-04-13 06:38:50,0.095s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_OrangeHRM/input_Username_txtPassword""), ""hUKwJTbofgPU9eVlw/CnDQ=="")",Chrome 73.0.3683.103,,2019-04-13 06:38:50,2019-04-13 06:38:50,0.110s,PASSED
"click(findTestObject(""Object Repository/Page_OrangeHRM/input_Password_Submit""))",Chrome 73.0.3683.103,,2019-04-13 06:38:50,2019-04-13 06:38:51,0.767s,PASSED
Start listener action : onTestCaseEnd,Chrome 73.0.3683.103,,2019-04-13 06:38:51,2019-04-13 06:38:51,0.016s,ERROR
,,,,,,
Test Cases/April13/Test3,Chrome 73.0.3683.103,,2019-04-13 06:38:51,2019-04-13 06:39:03,12.264s,FAILED
Start listener action : onTestCaseStart,Chrome 73.0.3683.103,,2019-04-13 06:38:51,2019-04-13 06:38:51,0.001s,PASSED
"callTestCase(findTestCase(""April13/Test2""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.103,,2019-04-13 06:38:51,2019-04-13 06:38:56,4.821s,PASSED
"click(findTestObject(""Object Repository/Page_OrangeHRM/b_Admin""))",Chrome 73.0.3683.103,,2019-04-13 06:38:56,2019-04-13 06:38:56,0.711s,PASSED
"click(findTestObject(""Object Repository/Page_OrangeHRM/b_Leave""))",Chrome 73.0.3683.103,,2019-04-13 06:38:56,2019-04-13 06:38:57,0.528s,PASSED
"click(findTestObject(""Object Repository/Page_OrangeHRM/b_Performance""))",Chrome 73.0.3683.103,,2019-04-13 06:38:57,2019-04-13 06:38:57,0.117s,PASSED
"click(findTestObject(""Object Repository/Page_OrangeHRM/b_Maintenance""))",Chrome 73.0.3683.103,,2019-04-13 06:38:57,2019-04-13 06:38:57,0.327s,PASSED
